County,State,physn,deathn,death.rate,income,total.persons,prc.under.5.years,prc.5.14.years,prc.15.24.years,prc.25.34.years,prc.35.44.years,prc.45.54.years,prc.55.64.years,prc.65.74.years,prc.75plus.years,white,african.american,asian,ai.and.an,nh.o.pi,hispanic.or.latino,Sex,physr,popdensity
Autauga,AL,32,377,7.9,"27,567","27,589",6.5,14.4,14.5,13.2,15.9,14.4,10.4,6.6,4.2,80.7,17.3,0.6,0.5,0,1.7,95.2,67,83.4
Baldwin,AL,355,"1,549",9.9,"30,899","96,010",5.8,12.4,12.6,13.3,14,14.3,11.4,8.8,7.5,88.4,9.9,0.4,0.5,0,2.3,96.9,227,106
Barbour,AL,21,278,9.7,"23,343","18,896",6,12.7,14.2,13.7,14.9,13.8,11.4,6.9,6.3,52.2,46.8,0.3,0.4,0,3.1,110.4,74,31.8
Bibb,AL,12,220,10.3,"21,732","13,540",6.1,13.5,12.7,16.2,15.3,13.5,10.6,6.8,5.2,76.8,22.5,0.1,0.3,0,1.4,106.7,56,34.5
Blount,AL,19,529,9.6,"23,492","33,702",6,13.3,12.9,14.8,14.6,13.8,11.2,7.8,5.6,97.1,1.5,0.2,0.5,0,6.4,99.8,35,87.4
Bullock,AL,9,135,12.1,"19,262","7,570",6.5,12.8,15.4,14.8,14.1,14.1,9.9,5.9,6.2,27.8,71.4,0.2,0.4,0,5.9,114.8,80,17.4
Butler,AL,17,287,13.9,"24,749","13,767",6.7,13.1,15,10.5,12.8,14.7,11.3,8,8,57.5,41.9,0.3,0.2,0,0.9,89.8,82,26.4
Calhoun,AL,221,"1,284",11.5,"28,156","74,015",6.4,12.3,14.5,12.5,13.7,14.9,11.5,7.8,6.5,78.3,19.7,0.7,0.4,0.1,2,92.3,197,185.6
Chambers,AL,35,441,12.4,"23,562","24,497",6.1,13.5,11.7,12.7,13.5,14.5,12.2,8.2,7.5,60.8,38.6,0.2,0.1,0,1.2,91.2,98,58.9
Cherokee,AL,11,265,10.8,"23,507","16,825",5.3,12,11.2,13.4,13.7,14.4,13.3,9.8,6.9,93.3,5.5,0.3,0.3,0,1.1,95.5,45,45
Chilton,AL,20,485,11.7,"23,754","25,902",6.3,13.4,13,15.3,14.3,14.2,10.9,7.1,5.4,88.3,10.5,0.3,0.3,0,3.7,97.4,48,60.5
Choctaw,AL,6,172,11.4,"24,388","10,569",6.1,13.3,13.1,10.6,13.1,14.8,13.4,8.8,6.9,55.7,43.9,0.1,0.1,0,0.8,89.3,40,16
Clarke,AL,22,281,10.3,"24,006","17,702",6.8,14.7,13.2,11.8,13.9,14.1,11.3,7.8,6.4,55.8,43.7,0.2,0.2,0,0.7,90.3,80,22
Clay,AL,8,183,13,"24,860","9,767",5.3,12.2,12.3,12.4,14,14.1,12.3,9,8.4,84.2,15,0.1,0.3,0,2.1,97.3,57,22.9
Cleburne,AL,1,174,12,"23,997","9,533",5.4,12.8,12.9,13.1,14.8,14.4,12.3,8.5,5.6,95.3,3.8,0.2,0.3,-0.01,1.8,100.6,7,26.2
Coffee,AL,58,476,10.6,"30,655","28,885",6.1,12.8,12.9,13.6,13.8,14.3,11.9,8,6.4,77.9,18.5,1.1,0.9,0.1,3.3,96.7,129,67.8
Colbert,AL,94,595,10.9,"25,368","37,384",5.3,12.6,12.5,12.2,14.1,14.9,12.4,8.6,7.5,81.9,16.7,0.3,0.4,0,1.3,92.1,172,92.1
Conecuh,AL,10,181,13.5,"23,481","9,230",6.3,13.4,13.2,10.8,13.1,14.9,12.9,7.9,7.6,55.3,44.1,0.1,0.2,0,0.9,89.3,75,15.8
